Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Log Loss,ROC-AUC (OVR),Train Time (s),Inference Time (s)
Random Forest,0.8789626299156159,0.8822140859161113,0.8475556376383552,0.8822140859161113,0.8637243467918961,0.8834387403890839,0.8789626299156159,0.8803502448890432,0.3176304115653539,0.974381142225208,11.69,0.4143
XGBoost,0.870361320170723,0.8897079163006174,0.8365518285580141,0.8897079163006174,0.8600808156292182,0.8826318267465817,0.870361320170723,0.873602290735318,0.3310446575806761,0.9741201349180775,13.44,0.2949
LightGBM,0.8662235688919298,0.8895427324398638,0.8333848662299124,0.8895427324398638,0.857834469728428,0.8805625285661889,0.8662235688919298,0.8698656267816637,0.3391902134764092,0.9733472624610369,13.42,1.2026
MLP,0.8596585540677028,0.8452204552845554,0.8315621627420516,0.8452204552845554,0.8373271986070207,0.858735715830425,0.8596585540677028,0.8585860823104214,0.3489003108436139,0.9662079468244529,215.37,0.1129
